Kabupaten/Kota,Provinsi,Sambal jadi,"Bumbu maskan jadi/kemasan, bumbu racikan",Cabe merah,Cabe hijau,Cabe rawit,Tahun
Poso,Sulawesi Tengah,63,308,177,94,2911,2022
Donggala,Sulawesi Tengah,13,210,646,74,1520,2022
Toli-Toli,Sulawesi Tengah,18,227,665,36,1538,2022
Buol,Sulawesi Tengah,20,194,235,10,2239,2022
Parigi Moutong,Sulawesi Tengah,20,108,585,44,1963,2022
Tojo Una-Una,Sulawesi Tengah,76,277,298,23,1862,2022
Sigi,Sulawesi Tengah,21,232,575,77,2629,2022
Banggai Laut,Sulawesi Tengah,39,257,508,25,1326,2022
Morowali Utara,Sulawesi Tengah,20,231,490,77,1828,2022
Palu,Sulawesi Tengah,108,221,976,319,2051,2022
Kepulauan Selayar,Sulawesi Selatan,276,227,642,32,651,2022
Bulukumba,Sulawesi Selatan,114,164,308,19,606,2022
Bantaeng,Sulawesi Selatan,68,235,228,5,585,2022
Jeneponto,Sulawesi Selatan,68,157,196,1,534,2022
Takalar,Sulawesi Selatan,67,337,170,1,497,2022
Gowa,Sulawesi Selatan,103,321,464,21,563,2022
Sinjai,Sulawesi Selatan,83,121,503,14,725,2022
Maros,Sulawesi Selatan,155,376,264,41,703,2022
Pangkajene dan Kepulauan,Sulawesi Selatan,160,359,272,9,709,2022
Barru,Sulawesi Selatan,85,312,241,17,897,2022
Bone,Sulawesi Selatan,157,276,252,13,665,2022
Soppeng,Sulawesi Selatan,143,201,434,13,634,2022
Wajo,Sulawesi Selatan,132,192,704,58,802,2022
Sidenreng Rappang,Sulawesi Selatan,93,310,650,30,1149,2022
Pinrang,Sulawesi Selatan,22,208,362,19,576,2022
Enrekang,Sulawesi Selatan,58,118,223,9,696,2022
Luwu,Sulawesi Selatan,46,160,117,26,1093,2022
Tana Toraja,Sulawesi Selatan,9,92,45,56,1382,2022
Luwu Utara,Sulawesi Selatan,47,174,31,19,1871,2022
Luwu Timur,Sulawesi Selatan,84,280,98,40,1534,2022
Toraja Utara,Sulawesi Selatan,21,124,305,31,1302,2022
Makasar,Sulawesi Selatan,274,371,637,40,1205,2022
Parepare,Sulawesi Selatan,165,196,587,20,1069,2022
Palopo,Sulawesi Selatan,100,192,103,7,1207,2022
Buton,Sulawesi Tenggara,41,82,163,28,391,2022
Muna,Sulawesi Tenggara,30,89,110,19,414,2022
Konawe,Sulawesi Tenggara,47,237,268,25,983,2022
Kolaka,Sulawesi Tenggara,66,308,183,11,1418,2022
Konawe Selatan,Sulawesi Tenggara,13,245,124,5,1124,2022
Bombana,Sulawesi Tenggara,111,175,103,3,624,2022
Wakatobi,Sulawesi Tenggara,222,130,132,29,334,2022
Kolaka Utara,Sulawesi Tenggara,144,197,30,11,1048,2022
Buton Utara,Sulawesi Tenggara,42,203,156,5,445,2022
Konawe Utara,Sulawesi Tenggara,129,463,135,25,1090,2022
Kolaka Timur,Sulawesi Tenggara,11,460,101,20,977,2022
Konawe Kepulauan,Sulawesi Tenggara,75,133,87,10,595,2022
Muna Barat,Sulawesi Tenggara,21,43,129,8,472,2022
Buton Tengah,Sulawesi Tenggara,69,129,96,0,426,2022
Buton Selatan,Sulawesi Tenggara,48,161,140,17,270,2022
Kendari,Sulawesi Tenggara,190,547,304,85,1164,2022
Baubau,Sulawesi Tenggara,157,240,139,18,835,2022
Boalemo,Gorontalo,17,491,174,,3583,2022
Gorontalo,Gorontalo,13,128,104,29,3621,2022
Pohuwato,Gorontalo,17,273,116,27,3594,2022
Bone Bolango,Gorontalo,17,163,87,17,2744,2022
Gorontalo Utara,Gorontalo,8,225,30,,3568,2022
Majene,Sulawesi Barat,54,237,1190,5,478,2022
Polewali Mandar,Sulawesi Barat,38,191,944,8,763,2022
Mamasa,Sulawesi Barat,6,43,50,39,487,2022
Mamuju,Sulawesi Barat,39,202,1066,22,1055,2022
Mamuju Utara,Sulawesi Barat,28,122,1215,102,1689,2022
Mamuju Tengah,Sulawesi Barat,48,256,885,43,1243,2022
Maluku Tenggara Barat,Maluku,14,112,745,92,1143,2022
Maluku Tenggara,Maluku,63,54,228,69,1236,2022
Maluku Tengah,Maluku,46,167,937,65,1684,2022
Buru,Maluku,32,376,857,64,2272,2022
Kepulauan Aru,Maluku,17,181,144,,1488,2022
Seram Bagian Barat,Maluku,31,87,714,24,1018,2022
Seram Bagian Timur,Maluku,99,111,522,25,1928,2022
Maluku Barat Daya,Maluku,62,99,115,8,695,2022
Buru Selatan,Maluku,25,42,509,13,849,2022
Ambon,Maluku,114,124,1087,25,1732,2022
Tual,Maluku,91,124,367,92,1372,2022
Halmahera Barat,Maluku Utara,28,121,1625,59,1512,2022
Halmahera Tengah,Maluku Utara,49,184,974,67,1719,2022
Kepulauan Sula,Maluku Utara,35,162,999,29,1170,2022
Halmahera Selatan,Maluku Utara,34,150,1067,,2065,2022
Halmahera Utara,Maluku Utara,39,64,2219,45,1521,2022
Halmahera Timur,Maluku Utara,53,326,1319,98,2000,2022
Pulau Morotai,Maluku Utara,49,342,3013,241,2097,2022
Pulau Taliabu,Maluku Utara,79,192,540,43,1032,2022
Ternate,Maluku Utara,61,138,1174,44,1827,2022
Tidore Kepulauan,Maluku Utara,44,141,843,12,1922,2022
Fakfak,Papua Barat,232,234,720,122,2249,2022
Kaimana,Papua Barat,200,281,381,5,2334,2022
Teluk Wondama,Papua Barat,72,158,261,44,1757,2022
Teluk Bintuni,Papua Barat,167,340,439,101,2773,2022
Manokwari,Papua Barat,38,194,460,74,1873,2022
Sorong Selatan,Papua Barat,12,45,108,58,751,2022
Sorong,Papua Barat,29,178,334,24,2677,2022
Raja Ampat,Papua Barat,136,108,567,57,1961,2022
Tambrauw,Papua Barat,103,124,167,94,2052,2022
Maybrat,Papua Barat,14,189,249,50,2180,2022
Manokwari Selatan,Papua Barat,21,156,560,46,1526,2022
Pegunungan Arfak,Papua Barat,42,115,202,180,2574,2022
Merauke,Papua,187,267,950,139,4183,2022
Jayawijaya,Papua,125,149,229,31,3741,2022
Jayapura,Papua,121,454,653,81,1585,2022
Nabire,Papua,103,399,264,39,2397,2022
Kepulauan Yapen,Papua,44,631,765,71,889,2022
Biak Numfor,Papua,31,172,567,,1432,2022
Paniai,Papua,,,,,5828,2022
Puncak Jaya,Papua,18,,7021,,,2022
Mimika,Papua,137,216,434,59,3434,2022
Boven Digoel,Papua,28,140,382,22,1872,2022
Mappi,Papua,38,236,59,34,1413,2022
Asmat,Papua,66,124,62,8,998,2022
Yahukimo,Papua,2,,3,22,1978,2022
Pegunungan Bintang,Papua,,108,679,32,260,2022
Tolikara,Papua,,188,418,0,4372,2022
Sarmi,Papua,199,124,543,82,1184,2022
Keerom,Papua,12,300,388,286,3787,2022
Waropen,Papua,150,91,721,15,992,2022
Supiori,Papua,104,232,985,49,1588,2022
Mamberamo Raya,Papua,115,10,850,212,532,2022
Nduga,Papua,36,590,45,31,4813,2022
Lanny Jaya,Papua,0,2376,2,,4827,2022
Mamberamo Tengah,Papua,5,4,165,61,6054,2022
Yalimo,Papua,18,33,311,280,3865,2022
Puncak,Jawa Barat,,,,270,9656,2022
Dogiyai,Papua,,27,1021,1,982,2022
Intan Jaya,Papua,,,25,,2705,2022
Deiyai,Papua,,,,,3915,2022
